,index,Driver,Vehicle,Tire,Glider,GroundSpeed,WaterSpeed,AirSpeed,AntiGravitySpeed,Acceleration,Weight,GroundHandling,WaterHandling,AirHandling,AntiGravityHandling,Traction,MiniTurbo,Total,Balance,AverageSpeed,WeightedSpeed,AverageHandling,WeightedHandling,GroundMastery,WaterMastery,AirMastery,AntiGravityMastery,DriftMastery,CollisionMastery
18,14591,Baby Daisy,Buggybud,Roller,Super Glider,1.0,2.0,2.25,1.25,5.25,1.0,5.75,5.25,5.5,5.75,4.25,5.5,44.75,2.964914751245794,1.625,1.4,5.5625,5.625,3.375,3.625,3.875,3.5,5.104166666666667,3.375
19,26194,Baby Rosalina,Buggybud,Roller,Super Glider,1.0,2.0,2.25,1.25,5.5,1.0,5.5,5.0,5.25,5.5,3.75,5.5,43.5,3.0329417441727404,1.625,1.4,5.3125,5.375,3.25,3.5,3.75,3.375,4.854166666666667,3.25
20,79124,Dry Bones,Buggybud,Roller,Peach Parasol,1.0,2.0,2.25,1.75,5.75,1.25,5.25,5.0,5.25,5.0,3.75,5.5,43.75,3.1491453653007,1.75,1.55,5.125,5.125,3.125,3.5,3.75,3.375,4.791666666666667,3.25
21,21496,Baby Daisy,Pipe Frame,Roller,Peach Parasol,1.0,2.25,2.0,1.25,5.25,1.25,5.75,5.5,5.25,5.25,4.0,5.5,44.25,3.0398139003006515,1.625,1.425,5.4375,5.5,3.375,3.875,3.625,3.25,4.979166666666667,3.5
22,33256,Baby Rosalina,Pipe Frame,Roller,Peach Parasol,1.0,2.25,2.0,1.25,5.5,1.25,5.5,5.25,5.0,5.0,3.5,5.5,43.0,3.101036965588692,1.625,1.425,5.1875,5.25,3.25,3.75,3.5,3.125,4.729166666666667,3.375
23,73393,Dry Bones,Buggybud,Roller,Cloud Glider,1.0,2.25,2.25,1.75,5.75,1.0,5.25,4.75,5.25,5.25,4.0,5.5,44.0,3.1311971097988307,1.8125,1.6,5.125,5.15,3.125,3.5,3.75,3.5,4.875,3.125
24,12237,Baby Daisy,Pipe Frame,Roller,Cloud Glider,1.0,2.5,2.0,1.25,5.25,1.0,5.75,5.25,5.25,5.5,4.25,5.5,44.5,3.0204645479151915,1.6875,1.475,5.4375,5.525,3.375,3.875,3.625,3.375,5.0625,3.375
25,33417,Baby Rosalina,Pipe Frame,Roller,Cloud Glider,1.0,2.5,2.0,1.25,5.5,1.0,5.5,5.0,5.0,5.25,3.75,5.5,43.25,3.085764057796364,1.6875,1.475,5.1875,5.275,3.25,3.75,3.5,3.25,4.8125,3.25
26,14736,Baby Daisy,Landship,Roller,Peach Parasol,1.0,2.75,2.25,1.0,5.25,1.0,5.5,5.75,5.5,4.75,4.5,5.5,44.75,3.0244151230431515,1.75,1.475,5.375,5.325,3.25,4.25,3.875,2.875,5.125,3.25
27,26498,Baby Rosalina,Landship,Roller,Peach Parasol,1.0,2.75,2.25,1.0,5.5,1.0,5.25,5.5,5.25,4.5,4.0,5.5,43.5,3.091585617706297,1.75,1.475,5.125,5.075,3.125,4.125,3.75,2.75,4.875,3.125
28,14733,Baby Daisy,Landship,Roller,Cloud Glider,1.0,3.0,2.25,1.0,5.25,0.75,5.5,5.5,5.5,5.0,4.75,5.5,45.0,3.0,1.8125,1.525,5.375,5.35,3.25,4.25,3.875,3.0,5.208333333333333,3.125
29,29429,Baby Rosalina,Landship,Roller,Cloud Glider,1.0,3.0,2.25,1.0,5.5,0.75,5.25,5.25,5.25,4.75,4.25,5.5,43.75,3.070980190811296,1.8125,1.525,5.125,5.1,3.125,4.125,3.75,2.875,4.958333333333333,3.0
30,14557,Baby Daisy,Buggybud,Cushion,Wario Wing,1.25,1.25,2.5,1.75,4.75,1.5,5.25,4.75,5.25,5.0,4.5,5.0,42.75,3.270821924097516,1.6875,1.525,5.0625,5.075,3.25,3.0,3.875,3.375,4.854166666666667,3.375
31,20409,Baby Daisy,Buggybud,Sponge,Wario Wing,1.25,1.25,2.5,1.75,4.75,1.5,5.25,4.75,5.25,5.25,4.5,5.0,43.0,3.2505412092289623,1.6875,1.525,5.125,5.15,3.25,3.0,3.875,3.5,4.875,3.375
32,26315,Baby Rosalina,Buggybud,Cushion,Wario Wing,1.25,1.25,2.5,1.75,5.0,1.5,5.0,4.5,5.0,4.75,4.0,5.0,41.5,3.349127870524556,1.6875,1.525,4.8125,4.825,3.125,2.875,3.75,3.25,4.604166666666667,3.25
33,26280,Baby Rosalina,Buggybud,Sponge,Wario Wing,1.25,1.25,2.5,1.75,5.0,1.5,5.0,4.5,5.0,5.0,4.0,5.0,41.75,3.329880470617674,1.6875,1.525,4.875,4.9,3.125,2.875,3.75,3.375,4.625,3.25
34,20308,Baby Daisy,Buggybud,Monster,Peach Parasol,1.25,1.5,1.5,2.0,4.5,2.0,4.75,4.75,5.0,4.5,4.75,4.75,41.25,3.404106833149537,1.5625,1.55,4.75,4.7,3.0,3.125,3.25,3.25,4.75,3.375
35,26338,Baby Rosalina,Buggybud,Monster,Peach Parasol,1.25,1.5,1.5,2.0,4.75,2.0,4.5,4.5,4.75,4.25,4.25,4.75,40.0,3.491187502863543,1.5625,1.55,4.5,4.45,2.875,3.0,3.125,3.125,4.5,3.25
36,14695,Baby Daisy,Buggybud,Button,Wario Wing,1.25,1.5,2.0,2.0,5.0,1.25,5.5,5.25,5.0,5.5,3.75,5.25,43.25,3.161465710590816,1.6875,1.6,5.3125,5.4,3.375,3.375,3.5,3.75,4.770833333333333,3.375
37,32141,Baby Rosalina,Buggybud,Button,Wario Wing,1.25,1.5,2.0,2.0,5.25,1.25,5.25,5.0,4.75,5.25,3.25,5.25,42.0,3.222616836725713,1.6875,1.6,5.0625,5.15,3.25,3.25,3.375,3.625,4.520833333333333,3.25
38,20438,Baby Daisy,Buggybud,Cushion,Super Glider,1.25,1.5,2.5,1.5,4.75,1.25,5.25,4.5,5.25,5.25,4.75,5.0,42.75,3.2254161819534337,1.6875,1.5,5.0625,5.1,3.25,3.0,3.875,3.375,4.9375,3.25
39,14518,Baby Daisy,Buggybud,Sponge,Super Glider,1.25,1.5,2.5,1.5,4.75,1.25,5.25,4.5,5.25,5.5,4.75,5.0,43.0,3.202484880157998,1.6875,1.5,5.125,5.175,3.25,3.0,3.875,3.5,4.958333333333333,3.25
40,26318,Baby Rosalina,Buggybud,Cushion,Super Glider,1.25,1.5,2.5,1.5,5.0,1.25,5.0,4.25,5.0,5.0,4.25,5.0,41.5,3.308331467384221,1.6875,1.5,4.8125,4.85,3.125,2.875,3.75,3.25,4.6875,3.125
41,32161,Baby Rosalina,Buggybud,Sponge,Super Glider,1.25,1.5,2.5,1.5,5.0,1.25,5.0,4.25,5.0,5.25,4.25,5.0,41.75,3.2862244851931406,1.6875,1.5,4.875,4.925,3.125,2.875,3.75,3.375,4.708333333333333,3.125
42,79230,Dry Bones,Buggybud,Cushion,Peach Parasol,1.25,1.5,2.5,2.0,5.25,1.5,4.75,4.25,5.0,4.5,4.25,5.0,41.75,3.417215007231452,1.8125,1.65,4.625,4.6,3.0,2.875,3.75,3.25,4.625,3.125
43,73328,Dry Bones,Buggybud,Sponge,Peach Parasol,1.25,1.5,2.5,2.0,5.25,1.5,4.75,4.25,5.0,4.75,4.25,5.0,42.0,3.4009946273329215,1.8125,1.65,4.6875,4.675,3.0,2.875,3.75,3.375,4.645833333333333,3.125
44,20455,Baby Daisy,Buggybud,Monster,Cloud Glider,1.25,1.75,1.5,2.0,4.5,1.75,4.75,4.5,5.0,4.75,5.0,4.75,41.5,3.387430997482964,1.625,1.6,4.75,4.725,3.0,3.125,3.25,3.375,4.833333333333333,3.25
45,32067,Baby Rosalina,Buggybud,Monster,Cloud Glider,1.25,1.75,1.5,2.0,4.75,1.75,4.5,4.25,4.75,4.5,4.5,4.75,40.25,3.4794650562543734,1.625,1.6,4.5,4.475,2.875,3.0,3.125,3.25,4.583333333333333,3.125
46,20569,Baby Daisy,Buggybud,Button,Super Glider,1.25,1.75,2.0,1.75,5.0,1.0,5.5,5.0,5.0,5.75,4.0,5.25,43.25,3.1247474917502522,1.6875,1.575,5.3125,5.425,3.375,3.375,3.5,3.75,4.854166666666667,3.25
47,26458,Baby Rosalina,Buggybud,Button,Super Glider,1.25,1.75,2.0,1.75,5.25,1.0,5.25,4.75,4.75,5.5,3.5,5.25,42.0,3.1909319325334184,1.6875,1.575,5.0625,5.175,3.25,3.25,3.375,3.625,4.604166666666667,3.125
48,20542,Baby Daisy,Buggybud,Normal,Peach Parasol,1.25,1.75,2.0,2.0,5.0,1.5,5.5,5.25,5.5,5.25,4.25,5.0,44.25,3.2063084029146633,1.75,1.65,5.375,5.375,3.375,3.5,3.75,3.625,4.875,3.5
49,32308,Baby Rosalina,Buggybud,Normal,Peach Parasol,1.25,1.75,2.0,2.0,5.25,1.5,5.25,5.0,5.25,5.0,3.75,5.0,43.0,3.280019379954142,1.75,1.65,5.125,5.125,3.25,3.375,3.625,3.5,4.625,3.375
50,73296,Dry Bones,Buggybud,Button,Peach Parasol,1.25,1.75,2.0,2.25,5.5,1.25,5.0,4.75,4.75,5.0,3.5,5.25,42.25,3.302882345465308,1.8125,1.725,4.875,4.925,3.125,3.25,3.375,3.625,4.541666666666667,3.125
51,12200,Baby Daisy,Pipe Frame,Cushion,Peach Parasol,1.25,1.75,2.25,1.5,4.75,1.5,5.25,4.75,5.0,4.75,4.5,5.0,42.25,3.3230901887246542,1.6875,1.525,4.9375,4.975,3.25,3.25,3.625,3.125,4.8125,3.375
52,21584,Baby Daisy,Pipe Frame,Sponge,Peach Parasol,1.25,1.75,2.25,1.5,4.75,1.5,5.25,4.75,5.0,5.0,4.5,5.0,42.5,3.304976088485457,1.6875,1.525,5.0,5.05,3.25,3.25,3.625,3.25,4.833333333333333,3.375
53,23960,Baby Rosalina,Pipe Frame,Cushion,Peach Parasol,1.25,1.75,2.25,1.5,5.0,1.5,5.0,4.5,4.75,4.5,4.0,5.0,41.0,3.3998106172686744,1.6875,1.525,4.6875,4.725,3.125,3.125,3.5,3.0,4.5625,3.25
54,31868,Baby Rosalina,Pipe Frame,Sponge,Peach Parasol,1.25,1.75,2.25,1.5,5.0,1.5,5.0,4.5,4.75,4.75,4.0,5.0,41.25,3.3828862692494948,1.6875,1.525,4.75,4.8,3.125,3.125,3.5,3.125,4.583333333333333,3.25
55,79233,Dry Bones,Buggybud,Cushion,Cloud Glider,1.25,1.75,2.5,2.0,5.25,1.25,4.75,4.0,5.0,4.75,4.5,5.0,42.0,3.3939036596313863,1.875,1.7,4.625,4.625,3.0,2.875,3.75,3.375,4.708333333333333,3.0
56,73331,Dry Bones,Buggybud,Sponge,Cloud Glider,1.25,1.75,2.5,2.0,5.25,1.25,4.75,4.0,5.0,5.0,4.5,5.0,42.25,3.374708650826883,1.875,1.7,4.6875,4.7,3.0,2.875,3.75,3.5,4.729166666666667,3.0
57,12142,Baby Daisy,Pipe Frame,Button,Peach Parasol,1.25,2.0,1.75,1.75,5.0,1.25,5.5,5.25,4.75,5.25,3.75,5.25,42.75,3.2031435277635047,1.6875,1.6,5.1875,5.3,3.375,3.625,3.25,3.5,4.729166666666667,3.375
58,33508,Baby Rosalina,Pipe Frame,Button,Peach Parasol,1.25,2.0,1.75,1.75,5.25,1.25,5.25,5.0,4.5,5.0,3.25,5.25,41.5,3.2619455321154827,1.6875,1.6,4.9375,5.05,3.25,3.5,3.125,3.375,4.479166666666667,3.25
59,14411,Baby Daisy,Buggybud,Normal,Cloud Glider,1.25,2.0,2.0,2.0,5.0,1.25,5.5,5.0,5.5,5.5,4.5,5.0,44.5,3.1883165371133484,1.8125,1.7,5.375,5.4,3.375,3.5,3.75,3.75,4.958333333333333,3.375
60,26333,Baby Rosalina,Buggybud,Normal,Cloud Glider,1.25,2.0,2.0,2.0,5.25,1.25,5.25,4.75,5.25,5.25,4.0,5.0,43.25,3.2664463281071066,1.8125,1.7,5.125,5.15,3.25,3.375,3.625,3.625,4.708333333333333,3.25
61,79171,Dry Bones,Buggybud,Button,Cloud Glider,1.25,2.0,2.0,2.25,5.5,1.0,5.0,4.5,4.75,5.25,3.75,5.25,42.5,3.2849816680898485,1.875,1.775,4.875,4.95,3.125,3.25,3.375,3.75,4.625,3.0
62,20139,Baby Daisy,Pipe Frame,Cushion,Cloud Glider,1.25,2.0,2.25,1.5,4.75,1.25,5.25,4.5,5.0,5.0,4.75,5.0,42.5,3.2982851786114886,1.75,1.575,4.9375,5.0,3.25,3.25,3.625,3.25,4.895833333333333,3.25
63,21575,Baby Daisy,Pipe Frame,Sponge,Cloud Glider,1.25,2.0,2.25,1.5,4.75,1.25,5.25,4.5,5.0,5.25,4.75,5.0,42.75,3.2774061577218663,1.75,1.575,5.0,5.075,3.25,3.25,3.625,3.375,4.916666666666667,3.25
64,31893,Baby Rosalina,Pipe Frame,Cushion,Cloud Glider,1.25,2.0,2.25,1.5,5.0,1.25,5.0,4.25,4.75,4.75,4.25,5.0,41.25,3.3793765228945203,1.75,1.575,4.6875,4.75,3.125,3.125,3.5,3.125,4.645833333333333,3.125
65,31869,Baby Rosalina,Pipe Frame,Sponge,Cloud Glider,1.25,2.0,2.25,1.5,5.0,1.25,5.0,4.25,4.75,5.0,4.25,5.0,41.5,3.359485483518089,1.75,1.575,4.75,4.825,3.125,3.125,3.5,3.25,4.666666666666667,3.125
66,73390,Dry Bones,Buggybud,Roller,Wario Wing,1.25,2.0,2.5,1.75,5.5,1.5,5.25,5.0,5.0,5.0,3.75,5.25,43.75,3.2928681238919357,1.875,1.675,5.0625,5.1,3.25,3.5,3.75,3.375,4.6875,3.375
67,18714,Baby Daisy,W 25 Silver Arrow,Roller,Peach Parasol,1.25,2.0,2.5,2.0,5.0,1.25,5.5,5.25,5.5,5.25,4.25,5.25,45.0,3.2194229740181006,1.9375,1.75,5.375,5.375,3.375,3.625,4.0,3.625,4.958333333333333,3.375
68,30468,Baby Rosalina,W 25 Silver Arrow,Roller,Peach Parasol,1.25,2.0,2.5,2.0,5.25,1.25,5.25,5.0,5.25,5.0,3.75,5.25,43.75,3.2895430789441438,1.9375,1.75,5.125,5.125,3.25,3.5,3.875,3.5,4.708333333333333,3.25
69,22532,Baby Daisy,Cat Cruiser,Roller,Peach Parasol,1.25,2.0,2.75,1.75,5.0,1.5,5.5,5.0,5.75,5.0,3.75,5.25,44.5,3.2586795327404636,1.9375,1.7,5.3125,5.275,3.375,3.5,4.25,3.375,4.770833333333333,3.5
70,24884,Baby Rosalina,Cat Cruiser,Roller,Peach Parasol,1.25,2.0,2.75,1.75,5.25,1.5,5.25,4.75,5.5,4.75,3.25,5.25,43.25,3.31632729193623,1.9375,1.7,5.0625,5.025,3.25,3.375,4.125,3.25,4.520833333333333,3.375
71,12151,Baby Daisy,Pipe Frame,Button,Cloud Glider,1.25,2.25,1.75,1.75,5.0,1.0,5.5,5.0,4.75,5.5,4.0,5.25,43.0,3.1836183153746496,1.75,1.65,5.1875,5.325,3.375,3.625,3.25,3.625,4.8125,3.25
72,33307,Baby Rosalina,Pipe Frame,Button,Cloud Glider,1.25,2.25,1.75,1.75,5.25,1.0,5.25,4.75,4.5,5.25,3.5,5.25,41.75,3.246891289304867,1.75,1.65,4.9375,5.075,3.25,3.5,3.125,3.5,4.5625,3.125
73,21646,Baby Daisy,Pipe Frame,Roller,Wario Wing,1.25,2.25,2.25,1.25,5.0,1.5,5.75,5.5,5.0,5.25,4.0,5.25,44.25,3.171796087561744,1.75,1.55,5.375,5.475,3.5,3.875,3.625,3.25,4.875,3.625
74,31789,Baby Rosalina,Pipe Frame,Roller,Wario Wing,1.25,2.25,2.25,1.25,5.25,1.5,5.5,5.25,4.75,5.0,3.5,5.25,43.0,3.237598057746019,1.75,1.55,5.125,5.225,3.375,3.75,3.5,3.125,4.625,3.5
75,17784,Baby Daisy,Landship,Cushion,Peach Parasol,1.25,2.25,2.5,1.25,4.75,1.25,5.0,5.0,5.25,4.25,5.0,5.0,42.75,3.297311617684338,1.8125,1.575,4.875,4.8,3.125,3.625,3.875,2.75,4.958333333333333,3.125
76,17762,Baby Daisy,Landship,Sponge,Peach Parasol,1.25,2.25,2.5,1.25,4.75,1.25,5.0,5.0,5.25,4.5,5.0,5.0,43.0,3.2866389578941453,1.8125,1.575,4.9375,4.875,3.125,3.625,3.875,2.875,4.979166666666667,3.125
77,29550,Baby Rosalina,Landship,Cushion,Peach Parasol,1.25,2.25,2.5,1.25,5.0,1.25,4.75,4.75,5.0,4.0,4.5,5.0,41.5,3.3803994132484205,1.8125,1.575,4.625,4.55,3.0,3.5,3.75,2.625,4.708333333333333,3.0
78,29522,Baby Rosalina,Landship,Sponge,Peach Parasol,1.25,2.25,2.5,1.25,5.0,1.25,4.75,4.75,5.0,4.25,4.5,5.0,41.75,3.3712165257282947,1.8125,1.575,4.6875,4.625,3.0,3.5,3.75,2.75,4.729166666666667,3.0
79,73234,Dry Bones,Buggybud,Roller,Super Glider,1.25,2.25,2.5,1.5,5.5,1.25,5.25,4.75,5.0,5.25,4.0,5.25,43.75,3.250135286614558,1.875,1.65,5.0625,5.125,3.25,3.5,3.75,3.375,4.770833333333333,3.25
80,22091,Baby Daisy,W 25 Silver Arrow,Roller,Cloud Glider,1.25,2.25,2.5,2.0,5.0,1.0,5.5,5.0,5.5,5.5,4.5,5.25,45.25,3.1957804087824195,2.0,1.8,5.375,5.4,3.375,3.625,4.0,3.75,5.041666666666667,3.25
81,33997,Baby Rosalina,W 25 Silver Arrow,Roller,Cloud Glider,1.25,2.25,2.5,2.0,5.25,1.0,5.25,4.75,5.25,5.25,4.0,5.25,44.0,3.2701375076543675,2.0,1.8,5.125,5.15,3.25,3.5,3.875,3.625,4.791666666666667,3.125
82,91034,Koopa Troopa,Buggybud,Roller,Peach Parasol,1.25,2.25,2.5,2.0,5.5,1.5,5.25,5.0,5.25,5.0,4.0,5.5,45.0,3.2943942691551165,2.0,1.8,5.125,5.125,3.25,3.625,3.875,3.5,4.875,3.375
83,149682,Isabelle,Buggybud,Roller,Peach Parasol,1.25,2.25,2.5,2.0,5.75,1.5,5.0,4.75,5.0,4.75,3.25,5.5,43.5,3.3365561462599778,2.0,1.8,4.875,4.875,3.125,3.5,3.75,3.375,4.541666666666667,3.25
84,22527,Baby Daisy,Cat Cruiser,Roller,Cloud Glider,1.25,2.25,2.75,1.75,5.0,1.25,5.5,4.75,5.75,5.25,4.0,5.25,44.75,3.243653283694023,2.0,1.75,5.3125,5.3,3.375,3.5,4.25,3.5,4.854166666666667,3.375
85,34291,Baby Rosalina,Cat Cruiser,Roller,Cloud Glider,1.25,2.25,2.75,1.75,5.25,1.25,5.25,4.5,5.5,5.0,3.5,5.25,43.5,3.3060938096169017,2.0,1.75,5.0625,5.05,3.25,3.375,4.125,3.375,4.604166666666667,3.25
86,17924,Baby Daisy,Landship,Button,Peach Parasol,1.25,2.5,2.0,1.5,5.0,1.0,5.25,5.5,5.0,4.75,4.25,5.25,43.25,3.2115956409371087,1.8125,1.65,5.125,5.125,3.25,4.0,3.5,3.125,4.875,3.125
87,29690,Baby Rosalina,Landship,Button,Peach Parasol,1.25,2.5,2.0,1.5,5.25,1.0,5.0,5.25,4.75,4.5,3.75,5.25,42.0,3.277818508138852,1.8125,1.65,4.875,4.875,3.125,3.875,3.375,3.0,4.625,3.0
88,12094,Baby Daisy,Pipe Frame,Roller,Super Glider,1.25,2.5,2.25,1.0,5.0,1.25,5.75,5.25,5.0,5.5,4.25,5.25,44.25,3.1227286484706784,1.75,1.525,5.375,5.5,3.5,3.875,3.625,3.25,4.958333333333333,3.5
89,31780,Baby Rosalina,Pipe Frame,Roller,Super Glider,1.25,2.5,2.25,1.0,5.25,1.25,5.5,5.0,4.75,5.25,3.75,5.25,43.0,3.1930269744261492,1.75,1.525,5.125,5.25,3.375,3.75,3.5,3.125,4.708333333333333,3.375
90,78826,Dry Bones,Pipe Frame,Roller,Peach Parasol,1.25,2.5,2.25,1.5,5.5,1.5,5.25,5.0,4.75,4.75,3.75,5.25,43.25,3.3197053378900616,1.875,1.675,4.9375,5.0,3.25,3.75,3.5,3.125,4.645833333333333,3.375
91,17793,Baby Daisy,Landship,Cushion,Cloud Glider,1.25,2.5,2.5,1.25,4.75,1.0,5.0,4.75,5.25,4.5,5.25,5.0,43.0,3.2668560709543253,1.875,1.625,4.875,4.825,3.125,3.625,3.875,2.875,5.041666666666667,3.0
92,14825,Baby Daisy,Landship,Sponge,Cloud Glider,1.25,2.5,2.5,1.25,4.75,1.0,5.0,4.75,5.25,4.75,5.25,5.0,43.25,3.253385309008344,1.875,1.625,4.9375,4.9,3.125,3.625,3.875,3.0,5.0625,3.0
93,29553,Baby Rosalina,Landship,Cushion,Cloud Glider,1.25,2.5,2.5,1.25,5.0,1.0,4.75,4.5,5.0,4.25,4.75,5.0,41.75,3.3538670199893366,1.875,1.625,4.625,4.575,3.0,3.5,3.75,2.75,4.791666666666667,2.875
94,26573,Baby Rosalina,Landship,Sponge,Cloud Glider,1.25,2.5,2.5,1.25,5.0,1.0,4.75,4.5,5.0,4.5,4.75,5.0,42.0,3.3416876048223,1.875,1.625,4.6875,4.65,3.0,3.5,3.75,2.875,4.8125,2.875
95,18418,Baby Daisy,Tanooki Kart,Roller,Peach Parasol,1.25,2.5,2.5,1.75,4.25,1.75,5.5,5.5,5.5,5.0,4.75,4.75,45.0,3.3382648717790087,2.0,1.775,5.375,5.35,3.375,4.0,4.0,3.375,4.958333333333333,3.625
96,30022,Baby Rosalina,Tanooki Kart,Roller,Peach Parasol,1.25,2.5,2.5,1.75,4.5,1.75,5.25,5.25,5.25,4.75,4.25,4.75,43.75,3.4389021442742562,2.0,1.775,5.125,5.1,3.25,3.875,3.875,3.25,4.708333333333333,3.5
97,91029,Koopa Troopa,Buggybud,Roller,Cloud Glider,1.25,2.5,2.5,2.0,5.5,1.25,5.25,4.75,5.25,5.25,4.25,5.5,45.25,3.273013879440237,2.0625,1.85,5.125,5.15,3.25,3.625,3.875,3.625,4.958333333333333,3.25
98,143801,Isabelle,Buggybud,Roller,Cloud Glider,1.25,2.5,2.5,2.0,5.75,1.25,5.0,4.5,5.0,5.0,3.5,5.5,43.75,3.3230901887246542,2.0625,1.85,4.875,4.9,3.125,3.5,3.75,3.5,4.625,3.125
99,17725,Baby Daisy,Landship,Button,Cloud Glider,1.25,2.75,2.0,1.5,5.0,0.75,5.25,5.25,5.0,5.0,4.5,5.25,43.5,3.1862269361155664,1.875,1.7,5.125,5.15,3.25,4.0,3.5,3.25,4.958333333333333,3.0
